ticker,name,sector,region,country,indices
000080.KS,HiteJinro,Consumer Staples,Asie,Corée du Sud,KOSPI 200
0001.HK,CK Hutchison Holdings Limited,Commerce & Industry,Asie,Hong Kong,Hang Seng
000100.KS,Yuhan,Health Care,Asie,Corée du Sud,KOSPI 200
000120.KS,CJ Logistics,Industrials,Asie,Corée du Sud,KOSPI 200
000150.KS,Doosan,Heavy Industries,Asie,Corée du Sud,KOSPI 200
0002.HK,CLP Holdings Limited,Utilities,Asie,Hong Kong,Hang Seng
000210.KS,DL,Constructions,Asie,Corée du Sud,KOSPI 200
000240.KS,Hankook & Company,Consumer Discretionary,Asie,Corée du Sud,KOSPI 200
000270.KS,Kia,Consumer Discretionary,Asie,Corée du Sud,KOSPI 200
0003.HK,Hong Kong and China Gas Company Limited,Utilities,Asie,Hong Kong,Hang Seng
0005.HK,HSBC Holdings plc,Finance,Asie,Hong Kong,Hang Seng
0006.HK,Power Assets Holdings Limited,Utilities,Asie,Hong Kong,Hang Seng
000660.KS,SK Hynix,IT,Asie,Corée du Sud,KOSPI 200
000670.KS,Young Poong,Steels & Materials,Asie,Corée du Sud,KOSPI 200
000720.KS,Hyundai E&C,Constructions,Asie,Corée du Sud,KOSPI 200
000810.KS,Samsung Fire & Marine,Financials,Asie,Corée du Sud,KOSPI 200
000880.KS,Hanwha,Energy & Chemicals,Asie,Corée du Sud,KOSPI 200
000990.KS,DB HiTek,IT,Asie,Corée du Sud,KOSPI 200
001040.KS,CJ,Consumer Staples,Asie,Corée du Sud,KOSPI 200
0012.HK,Henderson Land Development Company Limited,Properties,Asie,Hong Kong,Hang Seng
001430.KS,Seah Besteel,Steels & Materials,Asie,Corée du Sud,KOSPI 200
001440.KS,Taihan Cable & Solution,Industrials,Asie,Corée du Sud,KOSPI 200
001450.KS,Hyundai Marine & Fire,Financials,Asie,Corée du Sud,KOSPI 200
0016.HK,Sun Hung Kai Properties Limited,Properties,Asie,Hong Kong,Hang Seng
001680.KS,Daesang,Consumer Staples,Asie,Corée du Sud,KOSPI 200
001800.KS,Orion Holdings,Consumer Staples,Asie,Corée du Sud,KOSPI 200
002030.KS,Asia Holdings,Steels & Materials,Asie,Corée du Sud,KOSPI 200
